,id,address_v4,address_v6,asn_v4,asn_v6,prefix_v4,prefix_v6,is_anchor,is_public,status,status_since,first_connected,total_uptime,tags,country_code,latitude,longitude,day,probe,status_name,metro_area
6236,6236,199.201.65.212,2620:10d:c091:120::9,54115,54115,199.201.65.0/24,2620:10d:c091::/48,True,True,3,1566493545,1479809506,86197119,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,35.3305,-81.8715,20210906,https://atlas.ripe.net/api/v2/probes/6236/,Abandoned,Forest City
6247,6247,128.173.192.58,2001:468:c80:a202:0:b04f:0:c03a,1312,1312,128.173.0.0/16,2001:468:c80::/48,True,True,3,1567020837,1482489323,84312862,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,37.2005,-80.4105,20210906,https://atlas.ripe.net/api/v2/probes/6247/,Abandoned,Blacksburg
6257,6257,74.208.134.54,2607:f1c0:0:2::6a,8560,8560,74.208.0.0/16,2607:f1c0::/32,True,True,3,1570448268,1487061779,83229738,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,38.9305,-94.7505,20210906,https://atlas.ripe.net/api/v2/probes/6257/,Abandoned,Lenexa
6259,6259,68.232.38.39,2606:2800:4210:c::a,15133,15133,68.232.38.0/24,2606:2800:4210::/47,True,True,3,1621812594,1487926220,133126598,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,41.8815,-87.6305,20210906,https://atlas.ripe.net/api/v2/probes/6259/,Abandoned,Chicago
6264,6264,152.195.92.35,2606:2800:4026:c::a,15133,15133,152.195.92.0/24,2606:2800:4026::/48,True,True,1,1627030534,1489567902,136518154,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-ipv6-stable-30d', 'system-v2-soekris', 'system-ipv6-capable', 'system-anchor']",US,47.6095,-122.3295,20210906,https://atlas.ripe.net/api/v2/probes/6264/,Connected,Seattle
6265,6265,152.195.72.35,2606:2800:4104:c::a,15133,15133,152.195.72.0/24,2606:2800:4104::/48,True,True,3,1597930980,1489654386,106857334,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,32.7795,-96.7995,20210906,https://atlas.ripe.net/api/v2/probes/6265/,Abandoned,Dallas
6266,6266,152.195.88.35,2606:2800:4267:c::a,15133,15133,152.195.88.0/24,2606:2800:4267::/48,True,True,1,1624108440,1489741828,137737603,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,25.7605,-80.1895,20210906,https://atlas.ripe.net/api/v2/probes/6266/,Connected,Miami
6274,6274,204.15.11.34,2620:11c:5001:1118::2:1,13331,13331,204.15.8.0/21,2620:11c:5000::/44,True,True,1,1630643163,1492499458,136813437,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,47.4995,-122.2895,20210906,https://atlas.ripe.net/api/v2/probes/6274/,Connected,Tukwila
6280,6280,163.237.247.18,2001:4978:1000::2319:18,19255,19255,163.237.0.0/16,2001:4978:1000::/36,True,True,1,1630658422,1494318032,136295316,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,41.9975,-87.9685,20210906,https://atlas.ripe.net/api/v2/probes/6280/,Connected,Elk Grove Village
6287,6287,69.89.207.87,2600:2600::87,33362,33362,69.89.192.0/20,2600:2600::/28,True,True,3,1602011060,1497429669,104375484,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,48.5805,-96.5185,20210906,https://atlas.ripe.net/api/v2/probes/6287/,Abandoned,Karlstad
