,Cities,Latency,GeodesicDistance,GCD,RoutingDistance,GCDPredic,GeodesicPredic,Diff_Geodesic,Diff_GCD,Diff_between_both
138,"('Osaka', 'Montreal')",154.845,9.643462199719467,10630.725736082302,13288.407170102877,185.47049428341558,231.0081278863741,-76.1631278863741,-30.625494283415577,45.53763360295852
140,"('Osaka', 'London')",221.15900000000002,8.991664717855961,9499.377369849268,11874.221712311584,165.73226136298805,215.39438741350517,5.764612586494849,55.426738637011965,49.66212605051712
152,"('Osaka', 'Sydney')",120.845,4.263648851613917,7796.032592758634,9745.040740948292,136.01461032155512,102.13526208511213,18.709737914887867,-15.169610321555126,-33.87934823644299
154,"('Frankfurt', 'Council Bluffs')",104.645,6.2805262208032,7489.862315252037,9362.327894065045,130.67296628766755,150.44934841464274,-45.804348414642746,-26.027966287667553,19.776382126975193
167,"('Frankfurt', 'Hong Kong')",265.688,6.6737335447948025,9160.899948752623,11451.12493594078,159.8269660752455,159.86858871499396,105.81941128500603,105.86103392475448,0.041622639748453594
169,"('Frankfurt', 'Osaka')",232.32,8.100348729735805,9236.522388781059,11545.652985976323,161.14632391394755,194.04300618687262,38.276993813127376,71.17367608605244,32.89668227292506
174,"('Frankfurt', 'Sydney')",284.525,10.02614549282846,16482.33295947804,20602.91619934755,287.56140613827955,240.17526612818446,44.349733871815516,-3.036406138279574,-47.38614001009509
176,"('Sao Paulo', 'Council Bluffs')",137.657,5.409494876462045,8801.376622021551,11001.720777526938,153.55449035057276,129.58388370711734,8.073116292882673,-15.897490350572753,-23.970606643455426
177,"('Sao Paulo', 'Moncks Corner')",115.57700000000001,3.864882183591391,7223.482241394927,9029.352801743658,126.02552779738268,92.58284828023916,22.99415171976085,-10.448527797382667,-33.44267951714352
182,"('Sao Paulo', 'Montreal')",139.704,4.670451962614703,8140.512419317448,10175.64052414681,142.0246274444382,111.8801880405826,27.823811959417412,-2.320627444438202,-30.144439403855614
184,"('Sao Paulo', 'London')",201.669,5.740272608722915,9502.939255261483,11878.674069076853,165.7944043120571,137.50762967029505,64.16137032970497,35.8745956879429,-28.286774641762065
185,"('Sao Paulo', 'Frankfurt')",212.93099999999998,5.781742341337577,9836.142774067186,12295.178467583983,171.6076877006136,138.50103277561757,74.42996722438241,41.32331229938637,-33.106654924996036
189,"('Sao Paulo', 'Hong Kong')",285.099,9.853101426893094,18060.777703590575,22575.97212948822,315.09997068763636,236.0300136363213,49.068986363678675,-30.000970687636368,-79.06995705131504
191,"('Sao Paulo', 'Osaka')",252.458,11.629762093677009,18754.28615522382,23442.857694029775,327.19936620468656,278.58973399640615,-26.131733996406155,-74.74136620468656,-48.6096322082804
196,"('Sao Paulo', 'Sydney')",283.737,10.153930568678236,13355.60382716763,16694.504783959535,233.01047405171056,243.2363442485232,40.50065575147681,50.72652594828946,10.22587019681265
198,"('Jakarta', 'Council Bluffs')",196.09599999999998,10.437119858558008,15512.12499423252,19390.15624279065,270.6345325325545,250.02011405419537,-53.9241140541954,-74.53853253255451,-20.614418478359113
199,"('Jakarta', 'Moncks Corner')",232.356,10.972632867965384,16928.52034187059,21160.650427338238,295.34587884596004,262.8482721575781,-30.4922721575781,-62.98987884596005,-32.49760668838195
204,"('Jakarta', 'Montreal')",222.43599999999998,11.255339207760153,15641.868132701222,19552.335165876528,272.8981149651251,269.6204729445007,-47.184472944500726,-50.462114965125124,-3.2776420206243984
206,"('Jakarta', 'London')",290.529,7.807160938525407,11713.954748030043,14642.443435037552,204.36920592886554,187.0197233280851,103.5092766719149,86.15979407113446,-17.349482600780448
207,"('Jakarta', 'Frankfurt')",301.47900000000004,6.902410228927912,11114.471555146993,13893.08944393374,193.91023568930459,165.34651475429445,136.1324852457056,107.56876431069546,-28.56372093501014
218,"('Jakarta', 'Sydney')",102.79,2.9162577294164627,5500.127261211642,6875.159076514552,95.95876585322851,69.85864874611764,32.93135125388237,6.831234146771493,-26.100117107110876
219,"('Jakarta', 'Sao Paulo')",319.746,8.992073592411826,15643.078457595564,19553.848071994456,272.9192310734671,215.40418196070559,104.3418180392944,46.82676892653291,-57.51504911276149
228,"('Salt Lake City', 'London')",115.434,6.596448825372839,7822.811230236258,9778.514037795323,136.48180769382424,158.01724134844227,-42.58324134844227,-21.04780769382424,21.535433654618032
