,Cities,Latency,GeodesicDistance,GCD,RoutingDistance,GCDPredic,GeodesicPredic,Diff_Geodesic,Diff_GCD,Diff_between_both
98,"('Mumbai', 'Portland')",211.811609,10.682866596451902,12661.814011578703,15827.267514473378,215.38084562839487,253.41503543636952,-41.60342643636952,-3.5692366283948616,38.034189807974656
99,"('Mumbai', 'Montreal')",195.761638,9.742084477410106,12075.435689774537,15094.294612218171,205.4063934138189,231.09814774687408,-35.33650974687407,-9.6447554138189,25.691754333055172
100,"('Mumbai', 'Stockholm')",140.290845,4.709922125747394,6228.606278142313,7785.757847677892,105.95026005324783,111.72704176566572,28.563803234334273,34.34058494675216,5.776781712417886
101,"('Mumbai', 'Sao Paulo')",300.988235,7.689545262256955,13774.078794859362,17217.5984935742,234.3007673210215,182.40856679532223,118.57966820467774,66.68746767897846,-51.89220052569928
104,"('Mumbai', 'Tokyo')",124.594642,4.712765254437269,6723.335923303704,8404.169904129629,114.36574374577843,111.79448541959414,12.800156580405854,10.228898254221562,-2.5712583261842923
107,"('Mumbai', 'Columbus')",190.402481,9.993332707397904,12989.929695244604,16237.412119055754,220.96218123696377,237.05816592465698,-46.65568492465698,-30.559700236963778,16.095984687693203
108,"('Mumbai', 'Paris')",104.726968,4.668036624516814,7009.310629736587,8761.638287170734,119.23025005139321,110.73344929843945,-6.0064812984394536,-14.503282051393214,-8.49680075295376
112,"('Dublin', 'Portland')",123.86441,7.6063712658118945,7480.4685761035635,6681.41,127.24477283780121,180.43554381818333,-56.57113381818333,-3.3803628378012007,53.190770980382126
115,"('Dublin', 'Sao Paulo')",177.359437,5.994969219332908,9392.963585913643,11741.204482392055,159.7768248878709,142.2104566635485,35.1489803364515,17.582612112129112,-17.56636822432239
117,"('Dublin', 'Mumbai')",117.258487,5.2413758971903315,7602.782434610506,9503.478043263132,129.3253643117564,124.33399282201746,-7.075505822017462,-12.0668773117564,-4.991371489738938
118,"('Dublin', 'Tokyo')",202.033649,8.993645386431266,9584.403240647383,11980.50405080923,163.03326465911186,213.34395068282382,-11.31030168282382,39.00038434088813,50.31068602371195
126,"('Seoul', 'Portland')",125.370889,6.860578642865237,8450.239095792496,10562.79886974062,143.7408289641262,162.74412529621273,-37.373236296212724,-18.36993996412619,19.003296332086535
127,"('Seoul', 'Montreal')",183.83692,9.583160452628428,10551.68186190522,13189.602327381524,179.48693292609704,227.32821043574867,-43.49129043574868,4.349987073902952,47.84127750965163
128,"('Seoul', 'Stockholm')",271.494327,7.011197091012955,7431.248440736162,9289.060550920201,126.40752516004501,166.31704077073545,105.17728622926455,145.086801839955,39.909515610690434
129,"('Seoul', 'Sao Paulo')",296.1276,11.547725568807596,18341.651276611952,22927.06409576494,311.9963978751621,273.93090214201317,22.196697857986806,-15.868797875162102,-38.06549573314891
131,"('Seoul', 'Mumbai')",142.986509,3.914524749809425,5594.9375262514295,6993.671907814287,95.17138496428011,92.8589175230339,50.12759147696612,47.815124035719904,-2.3124674412462127
135,"('Seoul', 'Columbus')",185.053914,9.179243468581491,10867.952795578938,13584.940994473673,184.86678616671767,217.7466401801019,-32.692726180101914,0.18712783328231808,32.87985401338423
136,"('Seoul', 'Paris')",271.608845,7.657694972509308,8965.229676655179,11206.537095818974,152.50095659634633,181.6530259269434,89.95581907305657,119.10788840365365,29.152069330597072
137,"('Seoul', 'Dublin')",239.717972,8.129160903272314,8950.972452332755,11188.715565415943,152.25843739427393,192.83696747228012,46.88100452771988,87.45953460572608,40.578530078006196
140,"('London', 'Portland')",136.827664,7.6063712658118945,7906.697558182996,6889.2,134.49504191517426,180.43554381818333,-43.607879818183335,2.3326220848257435,45.94050190300908
