,CITY A,LATITUDE A,LONGITUDE A,CITY B,LATITUDE B,LONGITUDE B,GREAT CIRCLE DISTANCE (IN KM)
213,Virginia,38.9475,-77.3715,Illinois,40.4595,-87.6595,895.4905615498627
214,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
215,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
216,Virginia,38.9475,-77.3715,Texas,32.7975,-96.8195,1876.3174695087002
217,Virginia,38.9475,-77.3715,Texas,32.7975,-96.8195,1876.3174695087002
218,Virginia,38.9475,-77.3715,Washington,47.6205,-122.3625,3711.1719318519536
219,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
220,Virginia,38.9475,-77.3715,Indiana,39.9615,-86.1525,761.9694138163331
221,Virginia,38.9475,-77.3715,"Washington, D.C.",38.8995,-77.0205,30.82982639832564
222,Virginia,38.9475,-77.3715,Texas,32.7975,-96.8195,1876.3174695087002
223,Virginia,38.9475,-77.3715,Washington,47.6205,-122.3625,3711.1719318519536
224,Virginia,38.9475,-77.3715,Michigan,42.7105,-84.6685,742.5345103349347
225,Virginia,38.9475,-77.3715,Colorado,39.7385,-104.9885,2367.1214574990627
226,Virginia,38.9475,-77.3715,Georgia,33.7795,-84.4205,853.0729626367884
227,Virginia,38.9475,-77.3715,Arizona,33.4215,-112.0125,3149.425312038947
228,Virginia,38.9475,-77.3715,Florida,25.7885,-80.2295,1487.3933795860755
229,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
230,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
231,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
232,New York,40.7115,-74.0105,Florida,25.7885,-80.2295,1755.9839984012556
233,New York,40.7115,-74.0105,Illinois,40.4595,-87.6595,1151.7766139244634
234,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
235,New York,40.7115,-74.0105,Washington,47.6205,-122.3625,3867.3356190823647
236,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
237,New York,40.7115,-74.0105,Michigan,42.7105,-84.6685,911.5013207879881
238,New York,40.7115,-74.0105,Pennsylvania,39.9585,-75.6095,159.30614333349547
239,New York,40.7115,-74.0105,North Carolina,35.3305,-81.8715,911.5467002954958
240,New York,40.7115,-74.0105,Missouri,39.0985,-94.5795,1759.5885204968547
241,New York,40.7115,-74.0105,Florida,25.7885,-80.2295,1755.9839984012556
242,New York,40.7115,-74.0105,North Carolina,35.3305,-81.8715,911.5467002954958
243,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
244,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
245,New York,40.7115,-74.0105,Texas,32.7975,-96.8195,2205.9848946852685
246,New York,40.7115,-74.0105,Arizona,33.4215,-112.0125,3439.3855579196006
247,New York,40.7115,-74.0105,Georgia,33.7795,-84.4205,1199.8047912313455
248,New York,40.7115,-74.0105,Minnesota,48.5805,-96.5185,1973.9410308748343
249,New York,40.7115,-74.0105,Massachusetts,42.3485,-71.0615,305.5714554097635
250,New York,40.7115,-74.0105,Florida,25.7885,-80.2295,1755.9839984012556
251,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
252,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
253,New York,40.7115,-74.0105,Illinois,40.4595,-87.6595,1151.7766139244634
254,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
255,New York,40.7115,-74.0105,Utah,37.0815,-113.6225,3422.5873306260673
256,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
257,New York,40.7115,-74.0105,Florida,25.7885,-80.2295,1755.9839984012556
258,New York,40.7115,-74.0105,New Jersey,40.3485,-74.6515,67.55779413276719
259,New York,40.7115,-74.0105,New Jersey,40.3485,-74.6515,67.55779413276719
260,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
261,New York,40.7115,-74.0105,Texas,32.7975,-96.8195,2205.9848946852685
262,New York,40.7115,-74.0105,Georgia,33.7795,-84.4205,1199.8047912313455
263,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
264,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
265,New York,40.7115,-74.0105,New Jersey,40.3485,-74.6515,67.55779413276719
266,New York,40.7115,-74.0105,Washington,47.6205,-122.3625,3867.3356190823647
267,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
