,Google_Council Bluffs,Google_Moncks Corner,Google_Ashburn,Google_Portland,Google_Los Angeles,Google_Salt Lake City,Google_Las Vegas,Google_Montreal,Google_Saint-Ghislain,Google_London,Google_Frankfurt,Google_Het Hogeland,Google_Zurich,Google_Hamina,Google_Taipei,Google_Hong Kong,Google_Tokyo,Google_Osaka,Google_Seoul,Google_Singapore,Google_Jakarta,Google_Mumbai,Google_Sydney,Google_Sao Paulo
Google_Frankfurt,6.2805262208032,5.075959448454453,4.984011823738056,7.6744383394432525,7.7222971892833385,7.3071692663087155,7.322808830909075,4.926466953714623,0.32456222105695787,0.8357213621948265,0,0.5263540727272815,0,1.565746787741281,7.221570914549042,6.673733544794802,8.474001368433033,8.100348729735805,7.673721156117297,6.73424982951302,6.902410228927911,4.175863820289614,10.02614549282846,5.781742341337578
Google_Het Hogeland,5.983225802450139,4.890678002986302,4.7517134032332216,7.3652728559793434,7.463099617249512,7.0002055417988505,7.038445310892634,4.649410674530355,0.31652805416369034,0.32217228723195745,0.5263540727272815,0,0.5263540727272815,1.604486905859698,7.764357332017966,7.218483502052189,8.985398960948567,8.615485184972652,8.190689458471759,7.30682357633796,7.480203915549208,4.7441014385807065,10.614824663720379,5.922947387992245
Google_Zurich,6.2805262208032,5.075959448454453,4.984011823738056,7.6744383394432525,7.7222971892833385,7.3071692663087155,7.322808830909075,4.926466953714623,0.32456222105695787,0.8357213621948265,0,0.5263540727272815,0,1.565746787741281,7.221570914549042,6.673733544794802,8.474001368433033,8.100348729735805,7.673721156117297,6.73424982951302,6.902410228927911,4.175863820289614,10.02614549282846,5.781742341337578
Google_Hamina,7.428032777795002,6.410115402538443,6.247809774176142,8.801879368228294,8.955239785987914,8.4390184655635,8.50450131934253,6.110767208692808,1.8380432452493185,1.9483909401298778,1.565746787741281,1.604486905859698,1.565746787741281,0,6.690477508633898,6.1737983554730285,7.7321939598458655,7.382525536374075,6.971293388528218,6.517621180462253,6.760406593019067,4.136536017922705,9.913481929336244,7.32459001035349
Google_Taipei,9.246151465552705,10.452992065382137,10.49304749351322,7.8661397435375635,7.760614233386176,8.242770878988845,8.198993058926854,10.538753846767058,7.622043958849945,8.129549898879313,7.221570914549042,7.764357332017966,7.221570914549042,6.690477508633898,0,0.35894510509180044,1.5338770816503278,1.1612775973097484,0.8880527377040579,1.471659900250902,1.8253110254876432,3.1295468339860406,3.779866929334995,10.386582235626477
Google_Hong Kong,9.697153800576361,10.905435843874526,10.944680023187203,8.317355767239114,8.215065304219795,8.694319183557406,8.652581382180387,10.98804407290566,7.071817555924069,7.581647440405031,6.673733544794802,7.218483502052189,6.673733544794802,6.1737983554730285,0.35894510509180044,0,1.9407909075262548,1.5348876390071169,1.1995489931475944,1.253871660591102,1.6448307094738368,2.6514587948825987,3.9495194406193193,9.853101426893094
Google_Tokyo,7.886360890415472,9.190097795284796,9.186809971505348,6.496946147410565,6.452963255404823,6.874861168186867,6.859043282919874,9.193380267458377,8.888009060876268,9.362271999878269,8.474001368433033,8.985398960948567,8.474001368433033,7.7321939598458655,1.5338770816503278,1.9407909075262548,0,0.35977519358683807,0.787527560251462,2.9679935685883567,3.2657675752781774,4.674899845495611,4.196357630284939,11.412321627019617
Google_Osaka,8.338312624123454,9.641751858909085,9.638386329088664,6.9497555064017424,6.907057694757503,7.327818452467826,7.313170368307632,9.643462199719469,8.513596055737864,8.991664717855961,8.100348729735805,8.615485184972652,8.100348729735805,7.382525536374075,1.1612775973097484,1.5348876390071169,0.35977519358683807,0,0.3795364913312813,2.6548492544205953,2.9830288014456556,4.240085950573336,4.263648851613917,11.629762093677009
Google_Seoul,8.722388326040893,10.030030116345781,10.024175761173165,7.335166398404053,7.297388648942932,7.713252193056741,7.701498083241301,10.025349622407498,8.086577740738498,8.566514958938356,7.673721156117297,8.190689458471759,7.673721156117297,6.971293388528218,0.8880527377040579,1.1995489931475944,0.787527560251462,0.3795364913312813,0,2.4031279840526505,2.7586173199460298,3.829616611810284,4.3743586337863345,11.224789272850375
Google_Singapore,10.31623068691417,10.934721093633186,11.057926814130765,8.967330511867077,8.769799442147916,9.337220094590403,9.249664888942704,11.18532946912249,7.101342333399056,7.64295694538862,6.73424982951302,7.30682357633796,6.73424982951302,6.517621180462253,1.471659900250902,1.253871660591102,2.9679935685883567,2.6548492544205953,2.4031279840526505,0,0.34566842726846936,2.384522093525211,3.178508018553204,9.098188216428118
Google_Jakarta,10.437119858558008,10.972632867965384,11.112315936284594,9.104196351214817,8.878022485139908,9.470427059381933,9.369002201655388,11.255339207760153,7.259423416328637,7.807160938525408,6.902410228927911,7.480203915549208,6.902410228927911,6.760406593019067,1.8253110254876432,1.6448307094738368,3.2657675752781774,2.9830288014456556,2.7586173199460298,0.34566842726846936,0,2.5327626853413765,2.916257729416463,8.992073592411826
Google_Mumbai,9.96334701145594,8.384596922375785,8.483455720520574,11.068468908918879,10.965031260385473,10.989043547672686,10.911929359714307,8.592396064843275,4.526112362714629,5.065742962843938,4.175863820289614,4.7441014385807065,4.175863820289614,4.136536017922705,3.1295468339860406,2.6514587948825987,4.674899845495611,4.240085950573336,3.829616611810284,2.384522093525211,2.5327626853413765,0,5.503657890399996,6.983015526652163
Google_Sydney,8.976792229871851,9.567887597817686,9.801782209174062,7.848606169775174,7.439457216652525,8.165717495987826,7.975291295894028,10.044140790821253,10.376644005572539,10.93490752400193,10.02614549282846,10.614824663720379,10.02614549282846,9.913481929336244,3.779866929334995,3.9495194406193193,4.196357630284939,4.263648851613917,4.3743586337863345,3.178508018553204,2.916257729416463,5.503657890399996,0,10.153930568678236
Google_Sao Paulo,5.409494876462045,3.8648821835913907,4.273428965234482,6.330665952278915,5.786122225181025,6.084464555389678,5.830191207503159,4.6704519626147025,5.590974294834918,5.740272608722915,5.781742341337578,5.922947387992245,5.781742341337578,7.32459001035349,10.386582235626477,9.853101426893094,11.412321627019617,11.629762093677009,11.224789272850375,9.098188216428118,8.992073592411826,6.983015526652163,10.153930568678236,0
